"","Date","AveragePrice","Total.Volume","X4046","X4225","X4770","Total.Bags","Small.Bags","Large.Bags","XLarge.Bags","type","year","region"
"1","2015-02-01",0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0,"conventional",2015,"Albany"
"2","2015-01-25",1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0,"conventional",2015,"Albany"
"3","2015-01-18",1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0,"conventional",2015,"Albany"
"4","2015-01-11",1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0,"conventional",2015,"Albany"
"5","2015-01-04",1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0,"conventional",2015,"Albany"
"6","2015-02-01",0.96,636771.37,553198.56,31583.38,294.94,51694.49,10553.73,41140.76,0,"conventional",2015,"Atlanta"
"7","2015-01-25",1.1,449332.85,393408.17,18718.27,594.25,36612.16,13176.39,23435.77,0,"conventional",2015,"Atlanta"
"8","2015-01-18",1.11,431490.99,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0,"conventional",2015,"Atlanta"
"9","2015-01-11",1.11,397542.72,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0,"conventional",2015,"Atlanta"
"10","2015-01-04",1,435021.49,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0,"conventional",2015,"Atlanta"
"11","2015-02-01",1.06,1007418.76,93166.54,666010.38,83652.48,164589.36,159916.87,4672.49,0,"conventional",2015,"BaltimoreWashington"
"12","2015-01-25",1.2,692934.46,49696.14,386398.73,39488.95,217350.64,209761.81,7588.83,0,"conventional",2015,"BaltimoreWashington"
"13","2015-01-18",1.23,657741.34,49947.16,393359.6,40576.08,173858.5,169390.88,4467.62,0,"conventional",2015,"BaltimoreWashington"
"14","2015-01-11",1.17,670231.94,51460.64,420837.82,42526.96,155406.52,151330.87,4075.65,0,"conventional",2015,"BaltimoreWashington"
"15","2015-01-04",1.08,788025.06,53987.31,552906.04,39995.03,141136.68,137146.07,3990.61,0,"conventional",2015,"BaltimoreWashington"
"16","2015-02-01",0.91,113578.24,67496.3,36532.33,2904.77,6644.84,4867.26,1777.58,0,"conventional",2015,"Boise"
